make,model,mileage_mi,manufacture_year,engine_displacement,engine_power,body_type,transmission,door_count,seat_count,fuel_type,priceUSD,country,exterior_color,city
peugeot,106,94831.668,1999,1124,44,other,M,3,5,,1398.9672,EU,NA,NA
skoda,octavia,129168,2007,1968,103,,M,4,5,diesel,4860.356400000001,EU,NA,NA
ford,mondeo,122568.633,2008,2000,103,other,M,5,5,,1398.9672,EU,NA,NA
dodge,caliber,44091,2007,1998,115,other,A,4,5,,8972.629200000001,EU,NA,NA
opel,corsa,62.1,2015,1229,51,,M,4,5,gasoline,12480.318000000001,EU,NA,NA
volkswagen,eos,115208.541,2007,1968,103,other,M,2,4,,9396,EU,NA,NA
audi,q7,63342,2007,3597,206,,A,5,7,gasoline,13989.639600000002,EU,NA,NA
citroen,c5,154629,1997,1997,100,compact,M,None,NA,gasoline,2598.0804000000003,EU,NA,NA
audi,a1,0.621,2015,1422,66,,M,4,4,diesel,21790.0152,EU,NA,NA
audi,a6,72657,2011,1968,120,other,M,4,5,,23652,EU,NA,NA
opel,zafira,44087.895,2012,1956,96,,M,4,7,diesel,16329.265200000002,EU,NA,NA
audi,a1,9718.65,2012,1197,63,,M,4,5,gasoline,14435.226000000002,EU,NA,NA
hyundai,i30,62.1,2016,1582,82,other,M,5,NA,,21805.2,EU,NA,NA
smart,fortwo,46568.79,2009,999,45,other,A,2,2,,6048,EU,NA,NA
volkswagen,golf,22914.9,2014,1598,77,other,M,4,5,,14974.545600000001,EU,NA,NA
mercedes-benz,viano,73278,2010,2987,150,,A,4,NA,diesel,22604.616,EU,NA,NA
mercedes-benz,vito,67116.438,2010,2148,85,,M,4,3,diesel,11760.768000000002,EU,NA,NA
kia,venga,10938.914999999999,2013,1591,92,other,M,5,NA,,14029.2,EU,NA,NA
bmw,x1,17106.066,2011,1995,110,other,M,4,5,,21589.2,EU,NA,NA
suzuki,jimny,73899,2004,1298,59,,M,2,4,gasoline,5389.4052,EU,NA,NA
peugeot,3008,46219.167,2012,1598,115,other,A,5,5,,23706,EU,NA,NA
citroen,c4,119853,2007,1560,80,,A,5,5,diesel,3793.1868000000004,EU,NA,NA
bmw,x1,8269.857,2014,1995,85,,M,4,5,diesel,21146.0544,EU,NA,NA
audi,q5,24219,2014,1968,125,,A,4,5,diesel,38874.2436,EU,NA,NA
citroen,ds3,27066.906,2014,1560,68,other,M,3,5,,13554,EU,NA,NA
opel,corsa,53406,1995,1389,44,other,A,3,5,,1782.0000000000002,EU,NA,NA
volkswagen,polo,112545.072,2007,1422,51,other,M,4,5,,5398.92,EU,NA,NA
toyota,runner,104949,1992,2446,66,other,M,5,5,,7236.000000000001,EU,NA,NA
honda,civic,57746.79,2004,1396,66,other,M,4,5,,4837.320000000001,EU,NA,NA
skoda,yeti,6210,2016,1197,81,other,M,5,NA,,21049.2,EU,NA,NA
volkswagen,polo,11089.197,2014,1197,66,other,A,5,5,,17215.2,EU,NA,NA
alfa-romeo,156,121716,2004,2387,129,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
volkswagen,touareg,136493.937,2003,2461,128,offroad,M,5,5,diesel,1398.9672,EU,NA,NA
chevrolet,spark,30673.674,2008,800,38,other,M,5,5,,1398.9672,EU,NA,NA
audi,a3,102465,2004,1968,103,other,M,4,5,,5080.881600000001,EU,NA,NA
peugeot,2008,18929.322,2013,1560,69,other,M,5,5,,17269.2,EU,NA,NA
ford,mustang,15214.5,2013,3700,228,,M,2,4,gasoline,24734.754,EU,NA,NA
audi,a6,10060.2,2014,2967,230,,A,4,NA,diesel,53978.4,EU,NA,NA
skoda,octavia,140780.7,2010,1896,77,other,M,5,5,,7994.073600000001,EU,NA,NA
volvo,xc60,90045,2012,1984,100,other,M,5,5,,20520,EU,NA,NA
audi,a1,6.21,2016,1598,85,other,M,5,4,,24294.600000000002,EU,NA,NA
volkswagen,golf,20741.4,2012,1390,90,other,M,5,5,,14310.000000000002,EU,NA,NA
skoda,octavia,130410,2010,2000,103,compact,M,None,NA,gasoline,9552.923999999999,EU,NA,NA
fiat,punto,0,2015,1242,51,other,M,5,5,,10692,EU,NA,NA
nissan,pathfinder,145935,2005,2488,128,other,M,5,7,,1398.9672,EU,NA,NA
opel,corsa,7731.45,2015,1398,66,other,M,5,5,,11869.2,EU,NA,NA
citroen,c4-picasso,13275.117,2015,1600,85,other,A,,7,,18903.7152,EU,NA,NA
toyota,avensis,55940.301,2012,2231,130,,M,4,5,diesel,16292.534400000002,EU,NA,NA
volkswagen,golf,93033.87299999999,2009,1400,59,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
volkswagen,polo,136260.441,2001,1390,55,other,M,3,5,,1026,EU,NA,NA
seat,leon,14884.749,2014,1968,135,other,M,5,5,,19386,EU,NA,NA
dacia,sandero,51151.77,2009,1149,55,coupe,M,5,5,gasoline,1398.9672,EU,NA,NA
opel,astra,90217.638,2009,1700,81,stationwagon,M,5,5,diesel,1398.9672,EU,NA,NA
opel,insignia,22873.914,2014,1956,81,,M,None,5,diesel,16062.937200000002,EU,NA,NA
seat,leon,16909.209,2015,1598,81,,M,4,5,diesel,15412.226400000001,EU,NA,NA
volkswagen,touran,141588,2003,1968,100,other,M,4,5,,3240,EU,NA,NA
bmw,m3,104328,2002,3246,252,other,M,2,5,,27000,EU,NA,NA
audi,q7,0.621,2016,2967,200,other,A,5,5,,74520,EU,NA,NA
toyota,yaris,85698,2006,998,51,other,M,3,5,,3121.2000000000003,EU,NA,NA
renault,espace,132273,2012,1870,88,other,M,,NA,diesel,1398.9672,EU,NA,NA
peugeot,308,78598.107,2008,1598,110,other,M,,NA,gasoline,1398.9672,EU,NA,NA
audi,a3,123715.62,2004,1968,103,coupe,M,3,5,diesel,1398.9672,EU,NA,NA
volvo,xc70,161460,2006,2401,151,stationwagon,A,5,5,diesel,1398.9672,EU,NA,NA
fiat,panda,29765.772,2007,1242,44,other,M,5,4,,5346,EU,NA,NA
opel,corsa,104899.31999999999,1994,1389,44,other,A,5,5,,1458,EU,NA,NA
audi,a3,36018,2013,1197,77,,M,2,4,gasoline,15104.372400000002,EU,NA,NA
mini,one,57132,2002,1598,66,other,M,3,4,,5616,EU,NA,NA
suzuki,swift,117.99,2015,1242,69,other,M,2,4,,11771.2764,EU,NA,NA
